id,completed,first_name,last_name,gender,dob,educ,marit,start,jtype,whours,salary,overall,q1,q2,q3,q4,q5,q6,q7,q8,q9
1,01/20/2017 11:37:28,Kevin,Garcia,1,10/03/1993,0,2,05/07/2016,1,28.25,1653.09,7,3,4,5,9,6,0,6,3,7
2,01/21/2017 06:30:03,Ayden,Carter,1,10/31/1996,4,1,10/27/2026,1,0,1734.43,6,3,3,4,6,8,6,7,5,4
3,01/21/2017 16:35:48,Madelyn,Williams,0,12/13/1985,5,2,11/07/2008,1,22.75,1513,5,8,3,4,7,3,4,3,6,8
4,01/21/2017 17:37:33,Madelyn,Baker,0,06/10/1988,1,2,02/21/2011,6,27.25,1967.01,6,3,11,3,6,7,4,5,7,6
5,01/22/2017 12:04:23,Tristan,Hernandez,1,12/23/1995,3,2,03/01/2016,1,0,1312.77,11,8,5,7,7,3,5,6,6,9
6,01/22/2017 13:05:01,Isaac,Mitchell,1,04/19/1996,6,2,12/08/2016,2,43.75,3556.53,7,4,3,6,6,6,0,5,7,4
7,01/22/2017 15:44:23,Victoria,Carter,0,04/24/1989,2,2,06/09/2016,1,28.5,1749,6,2,1,6,8,3,4,4,3,8
8,01/23/2017 08:58:32,Christopher,Taylor,1,11/30/1983,4,2,04/20/2005,3,36.92307692307692,8204,6,7,8,8,5,7,7,5,3,4
9,01/23/2017 13:37:00,Caroline,Taylor,0,08/22/1981,3,1,11/13/2005,3,35.25,3400,6,6,3,2,9,5,7,5,2,4
10,01/23/2017 15:11:51,Daniel,Clark,1,03/30/1995,3,3,12/24/2016,1,28.5,1645.93,11,3,1,1,6,3,3,5,3,5
11,01/23/2017 15:41:43,Samuel,Perez,1,03/09/1980,5,2,03/11/2012,4,49,18370,8,6,11,3,9,4,4,6,6,5
12,01/23/2017 16:02:12,Henry,Thomas,1,01/09/1992,4,1,02/10/2014,3,43.25,7045.52,7,9,7,5,8,3,4,3,5,6
13,01/23/2017 16:57:29,Brianna,Nelson,0,01/22/1992,3,1,03/01/2012,3,39,9628.9,7,0,6,2,8,7,5,6,4,7
14,01/24/2017 09:38:08,Ayden,Scott,1,03/24/1986,4,1,11/15/2009,3,33,3159.93,7,8,8,4,8,6,7,5,4,9
15,01/24/2017 15:01:12,Avery,Moore,0,12/06/1988,2,1,05/14/2014,2,33.5,3015.38,7,8,7,5,9,11,6,5,3,7
16,01/24/2017 21:30:59,Evan,Young,1,09/11/1992,4,2,08/11/2016,1,33.25,2087,6,3,2,4,5,7,5,7,4,4
17,01/25/2017 11:29:10,Gianna,Green,0,10/06/1986,4,1,07/26/2016,2,27.75,2658.71,5,5,6,6,7,5,6,4,2,3
18,01/25/2017 11:36:51,Gabriella,Carter,0,07/04/1990,3467,1,12/15/2014,2,33,4432.8,7,10,8,4,11,5,5,8,6,5
19,01/25/2017 16:07:27,Chloe,Clark,0,09/14/1995,4,1,12/12/2015,1,41.53846153846154,1511.33,6,3,4,4,5,6,6,5,5,7
20,01/25/2017 16:41:13,Gianna,Jones,0,05/13/1992,4,3,10/09/2013,6,26.25,1417,6,4,1,3,6,4,5,6,5,4
21,01/25/2017 17:14:21,Claire,King,0,02/26/1988,3,3,07/22/2011,1,27,1846.65,0,0,0,0,0,0,0,3,0, 
22,01/25/2017 20:01:05,Hailey,Collins,0,10/24/1995,3,1,03/21/2045,1,29.5,2031.12,6,7,6,2,6,5,6,6,5,3
23,01/26/2017 05:36:12,Isaac,Adams,1,03/16/1981,5,2,04/17/2008,2,31.75,3051,6,7,5,2,8,6,8,5,3,7
24,01/26/2017 08:21:35,Alexa,Campbell,0,02/25/1959,6,3,03/07/1983,3,24.25,5849.41,7,6,4,5,9,7,7,7,4,10
25,01/26/2017 08:47:30,Wyatt,Martinez,1,03/13/1972,5,4,12/09/2012,3,32,3726.26,6,3,2,4,10,5,6,8,4,5
26,01/26/2017 12:43:18,Harper,Roberts,0,02/05/1993,3,3,11/27/2014,1,21.5,1264.16,5,5,5,5,6,4,7,6,4,6
27,01/26/2017 13:45:03,Hailey,Edwards,0,12/08/1991,4,2,09/10/2016,1,30.25,2239.02,6,7,4,2,9,0,3,4,4,10
28,01/26/2017 14:54:21,Joshua,Smith,1,11/17/1980,3,3,11/09/2004,1,30.5,1997.71,5,7,6,2,7,5,6,3,2,5
29,01/26/2017 15:29:28,Ellie,Anderson,0,12/30/1988,3,1,01/17/2015,1,26,1596.62,5,3,1,4,6,3,3,2,3,6
30,01/26/2017 18:25:41,Stella,Miller,0,06/30/1975,4,2,08/26/2004,1,29.25,1954.25,5,4,3,11,7,3,3,5,1,7
31,01/26/2017 19:06:46,Ryan,Davis,1,10/05/1977,3,3,03/22/2014,2,36,3661,5,6,4,6,6,5,5,6,2,7
32,01/27/2017 10:53:40,Avery,Carter,0,01/17/1980,4,1,02/13/2011,1,20,1332,7,5,6,6,9,2,4,2,6,9
33,01/27/2017 12:30:01,Elizabeth,Nelson,0,03/06/1975,3,3,12/25/2016,2,28.25,2995.24,5,4,6,5,7,8,5,3,3,7
34,01/27/2017 12:35:38,Isaiah,Phillips,1,04/16/1987,3,2,07/25/2014,1,30.5,2028,5,5,5,6,4,4,3,4,5,4
35,01/27/2017 12:53:15,Savannah,Brown,0,08/05/1976,5,2,12/19/2006,1,19.5,1437,7,7,7,3,8,8,7,7,0,6
36,01/27/2017 13:12:27,Hudson,Collins,1,05/06/1986,5,1,02/17/2013,1,28.75,1764.34,7,5,6,2,6,7,5,3,4,8
37,01/27/2017 14:11:17,Jackson,Roberts,1,11/21/1988,5,2,09/14/2013,1,35.25,2102.98,6,5,5,4,10,8,3,3,5,7
38,01/27/2017 15:10:33,Jace,White,1,10/11/1995,4,1,02/18/2016,2,33.75,3531.51,0,6,3,2,6,6,2,5,6,5
39,01/27/2017 15:31:41,Piper,Young,0,02/16/1990,4,1,10/30/2013,1,33.25,2188.78,6,7,5,5,7,4,4,5,3,7
40,01/27/2017 16:00:47,Liam,Scott,1,04/24/1982,4,3,06/24/2009,2,26.5,2335.04,5,8,3,6,7,8,3,6,3,8
41,01/27/2017 16:21:30,Camden,Edwards,1,08/21/1994,4,3,06/15/2016,1,29,1510.8,6,5,4,5,4,6,8,7,4,5
42,01/27/2017 20:17:28,Easton,Harris,1,04/12/1982,5,1,07/09/2009,1,27,1534.6,7,7,5,8,7,6,4,8,5,7
43,01/28/2017 09:43:34,Mason,Martin,1,09/02/1978,5,2,08/02/2007,2,31.75,3190.69,7,9,3,3,9,11,6,6,4,8
44,01/28/2017 10:38:44,Brayden,Rodriguez,1,01/03/1980,5,4,12/21/2008,2,32.25,3972,7,5,4,7,8,5,7,6,8,8
45,01/28/2017 11:21:11,Jocelyn,Collins,0,06/12/1967,3,2,03/02/1990,1,26.75,1867.21,6,3,1,4,6,5,4,4,3,8
46,01/28/2017 13:52:07,London,Clark,0,04/26/1991,4,2,06/08/2016,1,24.5,1490.78,6,8,5,3,7,4,7,6,11,9
47,01/28/2017 14:04:49,Aubree,Lopez,0,11/16/1988,5,2,10/20/2011,3,42,5058,6,3,5,5,9,4,6,5,2,5
48,01/28/2017 16:52:27,Aubrey,Wright,0,10/07/1983,4,1,10/19/2010,2,41.25,4215.13,6,5,3,4,6,3,2,2,2,7
49,01/28/2017 17:15:58,Jacob,Martinez,1,09/09/1986,2,5,01/17/2014,1,28.25,1827,5,2,1,3,6,5,5,3,2,8
50,01/29/2017 09:05:56,Gabriel,Young,1,06/24/1995,5,2,12/15/2015,1,31.75,1888.07,7,9,6,2,7,3,3,6,1,8
51,01/29/2017 09:06:40,Zoey,Clark,0,12/27/1977,3,2,06/29/2007,1,24,1611,5,10,6,4,8,2,4,4,5,10
52,01/29/2017 09:07:50,Nevaeh,Brown,0,06/12/1967,5,3,01/27/1995,2,32.5,3125,7,10,3,5,9,6,7,6,3,10
53,01/29/2017 09:39:34,Serenity,Scott,0,04/25/1989,2,5,07/15/2012,1,21.5,1317.89,0,7,4,4,10,6,8,5,3,10
54,01/29/2017 10:08:43,Joseph,Harris,1,07/11/1978,0,4,01/29/2006,1,34,2420.86,7,7,7,6,9,6,5,5,8,5
55,01/29/2017 10:20:15,Alexander,Jones,1,08/07/1989,4,1,06/23/2013,1,29.5,1693,5,6,4,4,7,4,4,6,4,6
56,01/29/2017 11:28:17,Grace,Lee,0,08/02/1984,5,1,05/04/2016,1,20.75,1332,6,8,4,4,8,3,8,4,1,9
57,01/29/2017 12:27:42,Annabelle,Turner,0,04/06/1996,3,2,07/26/2013,1,28.25,1662.74,6,9,4,5,9,6,5,6,5,7
58,01/29/2017 12:30:04,Henry,Martinez,1,10/26/1983,3,1,02/26/2005,3,45.25,6519.31,7,3,0,6,10,6,6,6,2,8
59,01/29/2017 12:50:45,Harper,Martin,0,12/28/1979,3,3,06/24/2007,1,28.25,2045.91,6,2,2,4,6,3,0,6,5,11
60,01/29/2017 13:06:11,Landon,Wright,1,06/23/1988,4,1,06/30/2014,3,36.75,4987.6,6,0,4,2,7,8,6,6,3,7
61,01/29/2017 13:11:36,Grace,Wilson,0,07/05/1983,5,2,01/02/2014,4,45.25,13401.06,6,5,4,6,10,7,10,9,4,8
62,01/29/2017 13:27:11,Sydney,Turner,0,02/11/1974,4,2,08/17/1999,2,20.75,2065,7,6,5,7,9,6,7,7,5,10
63,01/29/2017 13:29:46,Nathan,Wilson,1,02/20/1986,6,3,12/08/2011,3,41.25,3578,6,4,2,4,6,5,3,4,8,8
64,01/29/2017 15:22:04,Carson,Martinez,1,05/27/1992,5,1,06/05/2016,1,30.25,1710.19,5,5,3,3,7,4,4,3,6,3
65,01/29/2017 15:31:47,Nicole,Williams,0,10/14/1980,3,2,11/05/2010,1,28.25,2030.32,8,8,10,0,8,5,3,6,6,10
66,01/29/2017 18:48:24,Piper,Lopez,0,03/10/1978,5,4,01/21/2011,2,27,3838.39,11,11,5,0,6,9,11,6,4,5
67,01/29/2017 20:11:03,Eva,Baker,0,06/30/1984,5,1,04/01/2008,2,33.75,3136,6,4,4,7,6,6,5,4,6,7
68,01/30/2017 09:43:25,Abigail,Gonzalez,0,05/17/1989,4,1,10/06/2014,1,32.5,2168,0,9,6,5,7,7,5,6,7,6
69,01/30/2017 11:30:56,Mackenzie,Young,0,11/23/1977,3,2,11/20/2009,1,27.75,1997,6,5,1,5,7,4,3,4,6,4
70,01/30/2017 11:36:02,Logan,Evans,1,12/22/1979,3,3,08/25/2001,1,23.75,1477,7,5,5,6,8,9,9,6,7,7
71,01/30/2017 11:40:53,Sofia,Green,0,03/10/1972,4,2,06/19/1996,3,24.25,4198,7,8,10,7,7,5,8,4,5,7
72,01/30/2017 12:11:55,Grayson,Parker,1,12/25/1962,5,3,04/10/1996,3,28.25,3719.74,7,6,7,4,5,8,10,7,5,8
73,01/30/2017 12:33:34,Evelyn,Brown,0,02/16/1970,4,2,12/18/1998,3,29.5,4821.91,8,7,8,8,10,5,4,3,8,6
74,01/30/2017 13:00:12,Chloe,Anderson,0,09/10/1995,3,3,12/01/2015,1,25.75,1376,7,5,2,2,7,11,3,6,4,5
75,01/30/2017 13:05:30,Jaxson,Campbell,1,04/07/1993,5,1,10/23/2015,4,48.5,19711.67,6,8,6,0,7,7,8,11,3,6
76,01/30/2017 13:08:03,Zachary,Martin,1,11/03/1976,5,1,10/30/2005,3,40.75,8167.47,6,7,5,6,7,4,0,2,4,5
77,01/30/2017 14:02:04,Angel,Jones,1,05/13/1986,4,3,08/02/2015,1,29,1846,5,4,1,0,6,4,4,3,6,4
78,01/30/2017 14:56:08,Mia,Scott,0,07/16/1982,3,2,10/02/2008,1,27.75,1845.82,6,5,2,5,8,9,8,10,7,10
79,01/30/2017 15:17:33,Morgan,Nelson,0,07/21/1978,6,3,04/30/2016,3,40.5,6078.78,8,6,8,6,6,6,7,5,7,6
80,01/30/2017 16:30:54,Dominic,Perez,1,10/20/1961,5,3,04/20/1993,4,40.25,16944.25,7,7,5,2,10,5,7,0,6,8
81,01/30/2017 16:38:29,Hailey,Smith,0,07/04/1975,3,4,04/30/2004,1,23,1607.29,5,4,1,2,4,6,7,5,0,7
82,01/30/2017 16:52:37,Blake,King,1,06/01/1979,4,1,05/21/2015,2,30,3581.37,7,9,9,6,9,8,7,6,4,6
83,01/30/2017 17:27:43,Angel,King,1,09/23/1978,2,2,07/18/2006,1,30.5,2155,6,5,4,7,8,6,3,7,4,4
84,01/30/2017 17:34:31,Arianna,Roberts,0,04/01/1978,3,2,11/19/2004,1,15,1094.43,7,3,3,4,7,6,2,5,7,8
85,01/31/2017 07:22:04,Evan,Jones,1,02/01/1991,0,1,03/15/2013,1,34.25,1932,6,5,4,5,11,6,6,5,5,9
86,01/31/2017 08:00:21,Sadie,Turner,0,07/12/1965,4,3,04/05/1987,1,17.75,1410.64,7,7,4,7,10,6,6,5,7,6
87,01/31/2017 08:19:22,Brooklyn,Nelson,0,09/26/1985,5,1,11/25/2015,1,23.75,1579.49,7,8,9,2,10,3,4,5,4,8
88,01/31/2017 08:34:18,Avery,Green,0,11/13/1986,4,2,05/21/2013,1,22.75,1507,6,11,4,3,6,3,5,6,2,9
89,01/31/2017 09:21:28,Lily,Edwards,0,07/17/1993,3,1,07/31/2014,1,25,1408.38,0,0,0,5,0,0,0,6,7, 
90,01/31/2017 09:27:29,Ella,Baker,0,06/02/1990,5,3,04/05/2013,2,33.75,3446,5,4,5,3,6,5,5,3,1,6
91,01/31/2017 10:08:29,Sophia,Perez,0,01/10/1990,4,3,12/05/2016,1,26.5,1704.21,8,4,8,7,8,6,7,8,5,7
92,01/31/2017 11:27:28,Alexander,Robinson,1,10/13/1974,5,3,04/15/2002,3,27.75,6100.88,7,10,5,7,8,8,6,7,7,8
